movie_title,director_name,language,country,genres,actor_1_name,actor_2_name,actor_3_name,comb
avatar,James Cameron,English,USA,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,James Cameron English USA Action Adventure Fantasy Sci-Fi CCH Pounder Joel David Moore Wes Studi
pirates of the caribbean: at world's end,Gore Verbinski,English,USA,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski English USA Action Adventure Fantasy Johnny Depp Orlando Bloom Jack Davenport
spectre,Sam Mendes,English,UK,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes English UK Action Adventure Thriller Christoph Waltz Rory Kinnear Stephanie Sigman
the dark knight rises,Christopher Nolan,English,USA,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan English USA Action Thriller Tom Hardy Christian Bale Joseph Gordon-Levitt
star wars: episode vii - the force awakens            ,Doug Walker,unknown,unknown,Documentary,Doug Walker,Rob Walker,unknown,Doug Walker unknown unknown Documentary Doug Walker Rob Walker unknown
john carter,Andrew Stanton,English,USA,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton English USA Action Adventure Sci-Fi Daryl Sabara Samantha Morton Polly Walker
spider-man 3,Sam Raimi,English,USA,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi English USA Action Adventure Romance J.K. Simmons James Franco Kirsten Dunst
tangled,Nathan Greno,English,USA,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno English USA Adventure Animation Comedy Family Fantasy Musical Romance Brad Garrett Donna Murphy M.C. Gainey
avengers: age of ultron,Joss Whedon,English,USA,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon English USA Action Adventure Sci-Fi Chris Hemsworth Robert Downey Jr. Scarlett Johansson
harry potter and the half-blood prince,David Yates,English,UK,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates English UK Adventure Family Fantasy Mystery Alan Rickman Daniel Radcliffe Rupert Grint
batman v superman: dawn of justice,Zack Snyder,English,USA,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder English USA Action Adventure Sci-Fi Henry Cavill Lauren Cohan Alan D. Purwin
superman returns,Bryan Singer,English,USA,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer English USA Action Adventure Sci-Fi Kevin Spacey Marlon Brando Frank Langella
quantum of solace,Marc Forster,English,UK,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster English UK Action Adventure Giancarlo Giannini Mathieu Amalric Rory Kinnear
pirates of the caribbean: dead man's chest,Gore Verbinski,English,USA,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski English USA Action Adventure Fantasy Johnny Depp Orlando Bloom Jack Davenport
the lone ranger,Gore Verbinski,English,USA,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski English USA Action Adventure Western Johnny Depp Ruth Wilson Tom Wilkinson
man of steel,Zack Snyder,English,USA,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder English USA Action Adventure Fantasy Sci-Fi Henry Cavill Christopher Meloni Harry Lennix
the chronicles of narnia: prince caspian,Andrew Adamson,English,USA,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson English USA Action Adventure Family Fantasy Peter Dinklage Pierfrancesco Favino Damián Alcázar
the avengers,Joss Whedon,English,USA,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon English USA Action Adventure Sci-Fi Chris Hemsworth Robert Downey Jr. Scarlett Johansson
pirates of the caribbean: on stranger tides,Rob Marshall,English,USA,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall English USA Action Adventure Fantasy Johnny Depp Sam Claflin Stephen Graham
men in black 3,Barry Sonnenfeld,English,USA,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld English USA Action Adventure Comedy Family Fantasy Sci-Fi Will Smith Michael Stuhlbarg Nicole Scherzinger
the hobbit: the battle of the five armies,Peter Jackson,English,New Zealand,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson English New Zealand Adventure Fantasy Aidan Turner Adam Brown James Nesbitt
the amazing spider-man,Marc Webb,English,USA,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb English USA Action Adventure Fantasy Emma Stone Andrew Garfield Chris Zylka
robin hood,Ridley Scott,English,USA,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,Ridley Scott English USA Action Adventure Drama History Mark Addy William Hurt Scott Grimes
the hobbit: the desolation of smaug,Peter Jackson,English,USA,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson English USA Adventure Fantasy Aidan Turner Adam Brown James Nesbitt
the golden compass,Chris Weitz,English,USA,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz English USA Adventure Family Fantasy Christopher Lee Eva Green Kristin Scott Thomas
king kong,Peter Jackson,English,New Zealand,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson English New Zealand Action Adventure Drama Romance Naomi Watts Thomas Kretschmann Evan Parke
titanic,James Cameron,English,USA,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron English USA Drama Romance Leonardo DiCaprio Kate Winslet Gloria Stuart
captain america: civil war,Anthony Russo,English,USA,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo English USA Action Adventure Sci-Fi Robert Downey Jr. Scarlett Johansson Chris Evans
battleship,Peter Berg,English,USA,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg English USA Action Adventure Sci-Fi Thriller Liam Neeson Alexander Skarsgård Tadanobu Asano
jurassic world,Colin Trevorrow,English,USA,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow English USA Action Adventure Sci-Fi Thriller Bryce Dallas Howard Judy Greer Omar Sy
skyfall,Sam Mendes,English,UK,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes English UK Action Adventure Thriller Albert Finney Helen McCrory Rory Kinnear
spider-man 2,Sam Raimi,English,USA,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi English USA Action Adventure Fantasy Romance J.K. Simmons James Franco Kirsten Dunst
iron man 3,Shane Black,English,USA,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black English USA Action Adventure Sci-Fi Robert Downey Jr. Jon Favreau Don Cheadle
alice in wonderland,Tim Burton,English,USA,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton English USA Adventure Family Fantasy Johnny Depp Alan Rickman Anne Hathaway
x-men: the last stand,Brett Ratner,English,Canada,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner English Canada Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman Kelsey Grammer Daniel Cudmore
monsters university,Dan Scanlon,English,USA,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon English USA Adventure Animation Comedy Family Fantasy Steve Buscemi Tyler Labine Sean Hayes
transformers: revenge of the fallen,Michael Bay,English,USA,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay English USA Action Adventure Sci-Fi Glenn Morshower Kevin Dunn Ramon Rodriguez
transformers: age of extinction,Michael Bay,English,USA,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay English USA Action Adventure Sci-Fi Bingbing Li Sophia Myles Kelsey Grammer
oz the great and powerful,Sam Raimi,English,USA,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,Sam Raimi English USA Adventure Family Fantasy Tim Holmes Mila Kunis James Franco
the amazing spider-man 2,Marc Webb,English,USA,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb English USA Action Adventure Fantasy Sci-Fi Emma Stone Andrew Garfield B.J. Novak
tron: legacy,Joseph Kosinski,English,USA,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski English USA Action Adventure Sci-Fi Jeff Bridges Olivia Wilde James Frain
cars 2,John Lasseter,English,USA,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter English USA Adventure Animation Comedy Family Sport Joe Mantegna Thomas Kretschmann Eddie Izzard
green lantern,Martin Campbell,English,USA,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell English USA Action Adventure Sci-Fi Ryan Reynolds Temuera Morrison Taika Waititi
toy story 3,Lee Unkrich,English,USA,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich English USA Adventure Animation Comedy Family Fantasy Tom Hanks John Ratzenberger Don Rickles
terminator salvation,McG,English,USA,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,McG English USA Action Adventure Sci-Fi Christian Bale Bryce Dallas Howard Common
furious 7,James Wan,English,USA,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,James Wan English USA Action Crime Thriller Jason Statham Paul Walker Vin Diesel
world war z,Marc Forster,English,USA,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster English USA Action Adventure Horror Sci-Fi Thriller Peter Capaldi Brad Pitt Mireille Enos
x-men: days of future past,Bryan Singer,English,USA,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer English USA Action Adventure Fantasy Sci-Fi Thriller Jennifer Lawrence Peter Dinklage Hugh Jackman
star trek into darkness,J.J. Abrams,English,USA,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams English USA Action Adventure Sci-Fi Benedict Cumberbatch Bruce Greenwood Noel Clarke
jack the giant slayer,Bryan Singer,English,USA,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer English USA Adventure Fantasy Eddie Marsan Ewen Bremner Ralph Brown
the great gatsby,Baz Luhrmann,English,Australia,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann English Australia Drama Romance Leonardo DiCaprio Elizabeth Debicki Steve Bisley
prince of persia: the sands of time,Mike Newell,English,USA,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell English USA Action Adventure Fantasy Romance Jake Gyllenhaal Richard Coyle Reece Ritchie
pacific rim,Guillermo del Toro,English,USA,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro English USA Action Adventure Sci-Fi Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell
transformers: dark of the moon,Michael Bay,English,USA,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay English USA Action Adventure Sci-Fi Glenn Morshower Lester Speight Kevin Dunn
indiana jones and the kingdom of the crystal skull,Steven Spielberg,English,USA,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg English USA Action Adventure Fantasy Harrison Ford Ray Winstone Jim Broadbent
